method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_minhash_lsh,ijzq-5wy8.csv,modes_used_june_bus,"medium
",634,46,4,58774,0.9991590702680884,0.9323529411764706,0.9937304075235109,0.9620637329286797,0.044327497482299805,0.7,nyc_1000_4
cms,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,659.6624171733856,0.7,nyc_1000_4
cms_sampling,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,327.940486907959,0.7,nyc_1000_4
cms_earlystopping,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,58.76011633872986,0.7,nyc_1000_4
cms_minhash,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.226637601852417,0.7,nyc_1000_4
cms_minhash_lsh,iz2q-9x8d.csv,total_est_fee,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.0004322528839111328,0.7,nyc_1000_4
cms,2ps2-dsjr.csv,_05_principal,"medium
",502,0,0,58956,1.0,1.0,1.0,1.0,659.6479094028473,0.7,nyc_1000_4
cms_sampling,2ps2-dsjr.csv,_05_principal,"medium
",502,2,0,58954,0.9999663628107235,0.996031746031746,1.0,0.9980119284294234,327.71234941482544,0.7,nyc_1000_4
cms_earlystopping,2ps2-dsjr.csv,_05_principal,"medium
",156,0,346,58956,0.9941807662551717,1.0,0.3107569721115538,0.47416413373860183,67.54541945457458,0.7,nyc_1000_4
cms_minhash,2ps2-dsjr.csv,_05_principal,"medium
",502,0,0,58956,1.0,1.0,1.0,1.0,2.249727725982666,0.7,nyc_1000_4
cms_minhash_lsh,2ps2-dsjr.csv,_05_principal,"medium
",502,0,0,58956,1.0,1.0,1.0,1.0,0.030613422393798828,0.7,nyc_1000_4
cms,r5p4-2qap.csv,18 PRINCIPAL,"medium
",980,0,0,58478,1.0,1.0,1.0,1.0,661.9331901073456,0.7,nyc_1000_4
cms_sampling,r5p4-2qap.csv,18 PRINCIPAL,"medium
",980,6,0,58472,0.9998990884321706,0.9939148073022313,1.0,0.9969481180061037,328.6424527168274,0.7,nyc_1000_4
cms_earlystopping,r5p4-2qap.csv,18 PRINCIPAL,"medium
",279,0,701,58478,0.9882101651585994,1.0,0.28469387755102044,0.44320889594916607,73.916268825531,0.7,nyc_1000_4
cms_minhash,r5p4-2qap.csv,18 PRINCIPAL,"medium
",974,0,6,58478,0.9998990884321706,1.0,0.9938775510204082,0.9969293756397134,2.3089616298675537,0.7,nyc_1000_4
cms_minhash_lsh,r5p4-2qap.csv,18 PRINCIPAL,"medium
",974,0,6,58478,0.9998990884321706,1.0,0.9938775510204082,0.9969293756397134,0.024729490280151367,0.7,nyc_1000_4
cms,9cvd-uyw6.csv,ELL PRINCIPAL,"medium
",988,0,0,58470,1.0,1.0,1.0,1.0,661.113938331604,0.7,nyc_1000_4
cms_sampling,9cvd-uyw6.csv,ELL PRINCIPAL,"medium
",988,2,0,58468,0.9999663628107235,0.997979797979798,1.0,0.9989888776541962,328.3865284919739,0.7,nyc_1000_4
cms_earlystopping,9cvd-uyw6.csv,ELL PRINCIPAL,"medium
",276,0,712,58470,0.9880251606175788,1.0,0.2793522267206478,0.43670886075949367,65.62744450569153,0.7,nyc_1000_4
cms_minhash,9cvd-uyw6.csv,ELL PRINCIPAL,"medium
",986,0,2,58470,0.9999663628107235,1.0,0.9979757085020243,0.9989868287740628,2.2929813861846924,0.7,nyc_1000_4
