 method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_sampling,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,5,0,58801,0.9999159070268089,0.9923896499238964,1.0,0.9961802902979373,1307.2698941230774,0.7,nyc_16
cms_earlystopping,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,185.25357460975647,0.7,nyc_16
cms_minhash,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2.527705669403076,0.7,nyc_16
cms_minhash_lsh,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,0.049777984619140625,0.7,nyc_16
cms,disc.csv,A29 Gang Related Behavior R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2628.932818174362,0.7,nyc_16
cms_sampling,disc.csv,A29 Gang Related Behavior R,"medium
",652,2,0,58804,0.9999663628107235,0.9969418960244648,1.0,0.9984686064318529,1304.1359541416168,0.7,nyc_16
cms_earlystopping,disc.csv,A29 Gang Related Behavior R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,185.1339828968048,0.7,nyc_16
cms_minhash,disc.csv,A29 Gang Related Behavior R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2.553907871246338,0.7,nyc_16
cms_minhash_lsh,disc.csv,A29 Gang Related Behavior R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,0.04817390441894531,0.7,nyc_16
cms,r5p4-2qap.csv,18 PRINCIPAL,"medium
",980,0,0,58478,1.0,1.0,1.0,1.0,2627.316476583481,0.7,nyc_16
cms_sampling,r5p4-2qap.csv,18 PRINCIPAL,"medium
",980,0,0,58478,1.0,1.0,1.0,1.0,1305.3444259166718,0.7,nyc_16
cms_earlystopping,r5p4-2qap.csv,18 PRINCIPAL,"medium
",306,0,674,58478,0.9886642672138316,1.0,0.3122448979591837,0.4758942457231727,184.98210644721985,0.7,nyc_16
cms_minhash,r5p4-2qap.csv,18 PRINCIPAL,"medium
",978,2,2,58476,0.9999327256214471,0.9979591836734694,0.9979591836734694,0.9979591836734694,2.5508663654327393,0.7,nyc_16
cms_minhash_lsh,r5p4-2qap.csv,18 PRINCIPAL,"medium
",978,2,2,58476,0.9999327256214471,0.9979591836734694,0.9979591836734694,0.9979591836734694,0.04543662071228027,0.7,nyc_16
